manufacturer_id,manufacturer
1000572,Oblivion
1000573,Polyhedral
1000574,Q-Workshop
1000575,Tarquin
1000576,George
1000577,The Creativity Hub
1000578,Chessex
1000579,Chessex
1000580,Q-Workshop
1000581,Unknown
1000582,Forlorn Hope Games
1000583,Jesters
1000584,KMC
1000585,The Dice Place
1000586,Bulk Dice
1000587,Witzigs
1000588,Masters
1000589,Patch Products Inc.
1000590,WHATWEARS
1000591,Bulk Dice
1000592,Rockets Toys
1000593,Rockets Toys
1000594,Chessex
1000595,Brimtoy
1000596,BigCherry
1000597,Slammer
1000598,Creative Fingers
1000599,Paul Lamond Games
1000600,Generic
1000601,Motion Sand
1000602,Legler
1000603,Slammer
1000604,Playmobil
1000605,Coppenrath Verlag
1000606,C.P.M.
1000607,Playmobil
1000608,Baker Ross
1000609,Rio Grande Games
1000610,Disney Frozen
1000611,Clikkabox
1000612,Christmas @ Thumpers
1000613,Carousel
1000614,LEGO
1000615,Kinetic Sand
1000616,Fuzzy Felt
1000617,Playmobil
1000618,Kinetic Sand
1000619,William Sinclairs
1000620,Caltime
1000621,Playmobil
1000622,Kinetic Sand
1000623,Magic Sand
1000624,Christmas and Decorations
1000625,Star Wars
1000626,LEGO
1000627,LEGO
1000628,Coppenrath Verlag
1000629,VStoy
1000630,Motion Sand
1000631,TY-P2C
1000632,Schleich
1000633,Generic
1000634,LEGO
1000635,Coppenrath
1000636,Magic Sand
1000637,Playmobil
1000638,Caltime Click!
1000639,Disney
1000640,Kinetic Sand
1000641,Playmobil
1000642,Baker Ross
1000643,Namesakes
1000644,Playmobil
1000645,Generic
1000646,Playmobil
1000647,Advent Gift Boxes
1000648,Craftplay
1000649,My Little Pony
1000650,Simba Toys
1000651,LEGO
1000652,Star Wars
1000653,Playmobil
1000654,Kinetic Sand
1000655,Cra-Z-Sand
1000656,Muppets
1000657,Carousel
1000658,Caltime
1000659,Generic
1000660,Advent Calendars
1000661,Caltime
1000662,Generic
1000663,Mega Bloks
1000664,Motion Sand
1000665,Motion Sand
1000666,Christmas and Decorations
1000667,LEGO
1000668,Melissa & Doug
1000669,Coppenrath Verlag
1000670,Barbie
1000671,Motion Sand
1000672,Craftplay
1000673,Baker Ross
1000674,Advent Calendars
1000675,Alison Gardiner
1000676,Polly Pocket
1000677,Henry Glass Fabrics
1000678,Mega Bloks
1000679,Caltime
1000680,Kinetic Sand
1000681,Playmobil
1000682,Kinetic Sand
1000683,Chi Chi Love
1000684,Christmas and Decorations
1000685,Kinetic Sand
1000686,Barbie
1000687,Woodmansterne
1000688,Cra-Z-Sand
1000689,shopondo
1000690,Class Gifts
1000691,luxury applique sack
1000692,Polly Pocket
1000693,Motion Sand
1000694,Motion Sand
1000695,AMZ
1000696,Magical Minerals
1000697,Melissa & Doug
1000698,Generic
1000699,Coppenrath
1000700,Caltime
1000701,Green Board Games
1000702,Christmas and Decorations
1000703,National Gallery Company
1000704,Tizaro
1000705,Motion Sand
1000706,Playmobil
1000707,Kidoloop
1000708,Schleich
1000709,Kinetic Sand
1000710,Christmas and Decorations
1000711,Christmas and Decorations
1000712,Imaginext
1000713,Mattel
1000714,Paint and Play Today
1000715,Kinetic Sand
1000716,Playmobil
1000717,Baker Ross
1000718,Kinetic Sand
1000719,Carousel
1000720,LEGO
1000721,Wizard
1000722,Brian Clegg
1000723,Chelsea F.C.
1000724,Caltime
1000725,just4baby
1000726,just4baby
1000727,Generic
1000728,John Adams
1000729,Schleich
1000730,Playmobil
1000731,Mattel
1000732,Cra-Z-Sand
1000733,FDC
1000734,Namesakes
1000735,Carousel
1000736,Baker Ross
1000737,Playmobil
1000738,Caltime Plus
1000739,LEGO
1000740,LEGO
1000741,John Adams
1000742,Kinetic Sand
1000743,Coppenrath Verlag
1000744,Christmas and Decorations
1000745,Great Gizmos
1000746,MTS
1000747,Playmobil
1000748,LEGO
1000749,Kinetic Sand
1000750,Playmobil
1000751,Christmas and Decorations
1000752,Kinetic Sand
1000753,Premier Decorations
1000754,Star Wars
1000755,Misha
1000756,Alison Gardiner
1000757,Markwins International
1000758,Kinetic Sand
1000759,Disney
1000760,LEGO
1000761,Namesakes
1000762,Motion Sand
1000763,Playmobil
1000764,Spin Master
1000765,LEGO
1000766,Advanced Printing
1000767,Djeco
1000768,CIL
1000769,Moshi Monsters
1000770,John Adams
1000771,Creativ Co Ltd
1000772,Coppenrath Verlag
1000773,Spin Master
1000774,Advent Calendars
1000775,Disney Frozen
1000776,Wishtime
1000777,Namesakes
1000778,Imaginext
1000779,Givenchy
1000780,Playmobil
1000781,Clikkabox
1000782,KandyToys
1000783,Schleich
1000784,Caltime
1000785,Coppenrath
1000786,Character Options
1000787,Craftplay
1000788,Playmobil
1000789,Personaliseurgift
1000790,footprintdirect.co.uk
1000791,Woodmansterne
1000792,Alison Gardiner
1000793,Kinetic Sand
1000794,Coppenrath Verlag
1000795,Carousel
1000796,Tobar
1000797,Mattel
1000798,Hot Wheels
1000799,Mattel
1000800,Corgi
1000801,AMT
1000802,ixo
1000803,Forces Of Valor
1000804,Oxford Diecast
1000805,Universal Hobbies
1000806,AUTOart
1000807,Minichamps
1000808,TRI-ANG
1000809,Minichamps
1000810,Corgi
1000811,universal hobby
1000812,Morris & Co
1000813,Mattel
1000814,Tobar
1000815,ixo
1000816,Bburago
1000817,Hennessey
1000818,SMER
1000819,TRI-ANG
1000820,American Muscle - ERTL Collectibles
1000821,Ford
1000822,Corgi
1000823,AUTOart
1000824,ixo
1000825,Greenlight
1000826,AUTOart
1000827,AUTOart
1000828,Maisto
1000829,Siku
1000830,Oxford Diecast
1000831,Vktech
1000832,New Ray
1000833,Hot Wheels
1000834,Mattel
1000835,Oxford Diecast
1000836,Hasegawa
1000837,Unbekannt
1000838,Oxford Diecast
1000839,Oxford Diecast
1000840,Coca-Cola
1000841,Corgi
1000842,Oxford
1000843,Bburago
1000844,Britains Big Farm
1000845,Maisto
1000846,Corgi
1000847,Oxford Diecast
1000848,Corgi
1000849,Chevrolet
1000850,Riley
1000851,Aston Martin
1000852,Tamiya
1000853,Oxford Diecast
1000854,Hot Wheels
1000855,Maisto
1000856,Corgi
1000857,Maisto
1000858,Disney
1000859,Corgi
1000860,TAYO
1000861,Classix
1000862,Maisto
1000863,Corgi
1000864,Set
1000865,Teamsterz
1000866,Maisto
1000867,Oxford Diecast
1000868,AUTOart
1000869,Alpine
1000870,Mattel
1000871,AUTOart
1000872,Oxford
1000873,Hot Wheels
1000874,Mattel
1000875,Minichamps
1000876,AOSHIMA
1000877,universal hobby
1000878,Oxford Diecast
1000879,ixo
1000880,Collectable Diecast
1000881,Hot Wheels
1000882,Morris & Co
1000883,Tobar
1000884,Tamiya
1000885,Oxford Diecast
1000886,Grids
1000887,Oxford Diecast
1000888,Maisto
1000889,ixo
1000890,Oxford Diecast
1000891,New Ray
1000892,Audi
1000893,Chevrolet
1000894,Captain Scarlet
1000895,Unknown
1000896,Oxford Diecast
1000897,M & D International
1000898,Maisto
1000899,Brio
1000900,Sonic
1000901,Kyosho
1000902,Oxford Diecast
1000903,Corgi
1000904,Airfix
1000905,Corgi
1000906,Classix
1000907,Hot Wheels
1000908,Miniart
1000909,Mattel
1000910,Oxford Diecast
1000911,TRI-ANG
1000912,Maisto
1000913,Hot Wheels
1000914,Siku
1000915,Oxford Diecast
1000916,Aprilia
1000917,New Ray
1000918,Maisto
1000919,TRI-ANG
1000920,Oxford Diecast
1000921,Siku
1000922,Thunderbird
1000923,Oxford
1000924,Fast and Furious
1000925,Oxford
1000926,AUTOart
1000927,AUTOart
1000928,Corgi
1000929,Minichamps
1000930,ixo
1000931,Oxford Diecast
1000932,Airfix
1000933,AUTOart
1000934,Lambretta
1000935,Oxford Diecast
1000936,New Ray
1000937,Corgi
1000938,Maisto
1000939,Oxford
1000940,Disney
1000941,Classix
1000942,cararama
1000943,Universal Hobbies
1000944,Maisto
1000945,Corgi
1000946,cararama
1000947,Aivtalk
1000948,Siku
1000949,Oxford Diecast
1000950,Disney
1000951,Corgi
1000952,Corgi
1000953,Maisto
1000954,Oxford Diecast
1000955,Oxford Diecast
1000956,Welly
1000957,Opel
1000958,Takara Tomy
1000959,Mattel
1000960,Honda
1000961,Oxford Diecast
1000962,Siku
1000963,Oxford Diecast
1000964,Revell-Monogram
1000965,universal hobby
1000966,Oxford Diecast
1000967,ixo
1000968,Chevrolet
1000969,Sonic
1000970,ixo
1000971,Maisto
1000972,joe bar
1000973,TRI-ANG
1000974,Sieper GmbH
1000975,Bburago
1000976,Oxford Diecast
1000977,Chevrolet
1000978,Welly
1000979,Supreme Models Online
1000980,Honda
1000981,TRI-ANG
1000982,Minichamps
1000983,Autosculpt Miniatures
1000984,Oxford Diecast
1000985,Lamborghini
1000986,BAO CORE
1000987,Matchbox 1-75
1000988,AUTOart
1000989,Takara Tomy
1000990,cararama
1000991,Oxford Diecast
1000992,Fujimi
1000993,Oxford
1000994,Maisto
1000995,Hot Wheels
1000996,Schleich
1000997,Transformers
1000998,Dr Who
1000999,Takara Tomy
1001000,Diamond Select
1001001,Takara Tomy
1001002,Hasbro
1001003,Hasbro
1001004,Games Workshop
1001005,Nickelodeon
1001006,Playmobil
1001007,Kaiyodo
1001008,POP! Vinyl
1001009,FunKo
1001010,Astro Boy
1001011,Harley Quinn
1001012,Teenage Mutant Ninja Turtles
1001013,Hasbro
1001014,Turtles
1001015,Wing
1001016,Thinkway Toys
1001017,Thinkway
1001018,POP! Vinyl
1001019,Turtles
1001020,NECA
1001021,Mattel
1001022,DC Super Friends
1001023,Toy Story
1001024,Aliens and Predators
1001025,Bandai
1001026,Transformers
1001027,"Slugterra Toys, Games & Dart Mini Action Figures"
1001028,NECA
1001029,DC Comics
1001030,Star images
1001031,Mattel
1001032,Hasbro
1001033,Final Fantasy
1001034,McFarlane
1001035,Pokémon
1001036,Star Wars
1001037,McFarlane
1001038,DC Comics
1001039,Hot Toys
1001040,Good Smile Company
1001041,PlayMates
1001042,Hasbro
1001043,Disney
1001044,Hasbro
1001045,First 4 Figure
1001046,Bakugan
1001047,Hasbro
1001048,Thundercats
1001049,Fisher-Price
1001050,Eye On Asia
1001051,Star Wars
1001052,Ben 10
1001053,Playmobil
1001054,Tomy
1001055,Transformers
1001056,Ickee Stickeez
1001057,Star Wars
1001058,DC Comics
1001059,Character Options
1001060,Star Wars
1001061,Sun toys
1001062,Fisher-Price
1001063,Bandai
1001064,SEGA
1001065,DC Universe Classics
1001066,Banpresto
1001067,Hasbro
1001068,Hasbro
1001069,Star Wars
1001070,Vivid Imaginations
1001071,DC Comics
1001072,Transformers
1001073,Ben 10
1001074,Schleich
1001075,Star Wars
1001076,Star Wars
1001077,Star images
1001078,Star Wars
1001079,NECA
1001080,NECA
1001081,Bakugan
1001082,Dr Who
1001083,Transformers
1001084,Medicos
1001085,Teenage Mutant Ninja Turtles
1001086,Fabrikations
1001087,Transformers
1001088,Dr Who
1001089,Unbekannt
1001090,Mattel
1001091,Turtles
1001092,Star Wars
1001093,Character Options
1001094,Medicos
1001095,DC Comics
1001096,Star Trek
1001097,Freeing
1001098,Art Asylum
1001099,Moshi: Rox Tin
1001100,Super Wings
1001101,DC Comics
1001102,MISSING
1001103,Bandai
1001104,Toy Zany
1001105,Star Wars
1001106,Hasbro
1001107,GET RETRO
1001108,The Walking Dead
1001109,Plastoy
1001110,Vivid
1001111,Green Lantern
1001112,Transformers
1001113,How to Train Your Dragon
1001114,Spider-Man
1001115,Hasbro
1001116,Hasbro
1001117,My Little Pony
1001118,Star Cutouts Ltd
1001119,Star Wars
1001120,Trade Mark Collections
1001121,Hasbro
1001122,Marvel
1001123,Teenage Mutant Ninja Turtles
1001124,Hasbro
1001125,Octonauts
1001126,Wacky Wobbler
1001127,Sideshow Collectibles
1001128,Mattel
1001129,Star Wars
1001130,DC Comics
1001131,The Hobbit
1001132,Living Dead Dolls
1001133,NECA
1001134,Star Wars
1001135,Medicos
1001136,FunKo
1001137,Bullyland
1001138,Iron Man 3- Marvel
1001139,Star Wars
1001140,DC Comics
1001141,Plastoy
1001142,LEGO
1001143,Schleich
1001144,Bandai
1001145,Star Wars
1001146,Wacky Wobbler
1001147,DC Comics
1001148,Hasbro
1001149,Star Wars
1001150,Harry Potter
1001151,Transformers Prime Beast Hunters
1001152,Mattel
1001153,DC Comics
1001154,The Walking Dead
1001155,NECA
1001156,Hasbro
1001157,POP! Vinyl
1001158,Star Wars
1001159,Master Replicas
1001160,Hasbro
1001161,Kotobukiya
1001162,Transformers
1001163,Playmobil
1001164,Star Trek
1001165,Star Cutouts Ltd
