ProdCategory_id,Product_category,ProdSubCategory
407,Games , Dice & Dice Games
408,Games , Dice & Dice Games
409,Games , Dice & Dice Games
410,Games , Dice & Dice Games
411,Games , Dice & Dice Games
412,Games , Dice & Dice Games
413,Arts & Crafts , Art Sand
414,Arts & Crafts , Art Sand
415,Arts & Crafts , Art Sand
416,Arts & Crafts , Art Sand
417,Arts & Crafts , Art Sand
418,,
419,Characters & Brands , Disney 
420,,
421,,
422,,
423,,
424,Arts & Crafts , Art Sand
425,Arts & Crafts , Art Sand
426,Characters & Brands , Disney 
427,,
428,,
429,,
430,,
431,Arts & Crafts , Art Sand
432,Arts & Crafts , Felt Kits
433,,
434,Arts & Crafts , Art Sand
435,Arts & Crafts , Art Sand
436,,
437,,
438,,
439,Arts & Crafts , Art Sand
440,,
441,Characters & Brands , Star Wars 
442,,
443,Characters & Brands , Star Wars 
444,,
445,Arts & Crafts , Art Sand
446,Arts & Crafts , Art Sand
447,,
448,,
449,Arts & Crafts , Art Sand
450,,
451,,
452,Arts & Crafts , Art Sand
453,,
454,,
455,Characters & Brands , Disney 
456,Arts & Crafts , Art Sand
457,,
458,Arts & Crafts , Children's Craft Kits
459,,
460,,
461,Arts & Crafts , Art Sand
462,,
463,,
464,Arts & Crafts , Art Sand
465,Characters & Brands , Hasbro
466,,
467,Characters & Brands , Star Wars 
468,Characters & Brands , Star Wars 
469,,
470,Arts & Crafts , Art Sand
471,Arts & Crafts , Art Sand
472,Figures & Playsets , Farm & Animals
473,,
474,,
475,Arts & Crafts , Art Sand
476,,
477,,
478,Arts & Crafts , Art Sand
479,,
480,Arts & Crafts , Art Sand
481,Arts & Crafts , Art Sand
482,,
483,,
484,Arts & Crafts , Art Sand
485,,
486,Characters & Brands , Barbie
487,Arts & Crafts , Art Sand
488,Arts & Crafts , Art Sand
489,Arts & Crafts , Art Sand
490,,
491,,
492,,
493,,
494,,
495,,
496,Arts & Crafts , Art Sand
497,,
498,Arts & Crafts , Art Sand
499,,
500,,
501,Arts & Crafts , Art Sand
502,Characters & Brands , Disney 
503,,
504,Arts & Crafts , Art Sand
505,Arts & Crafts , Art Sand
506,,
507,,
508,,
509,Arts & Crafts , Art Sand
510,Arts & Crafts , Art Sand
511,Arts & Crafts , Art Sand
512,,
513,,
514,Arts & Crafts , Art Sand
515,,
516,,
517,Arts & Crafts , Art Sand
518,Home Accessories , Decorative Accessories 
519,,
520,,
521,Arts & Crafts , Art Sand
522,,
523,Arts & Crafts , Art Sand
524,,
525,Arts & Crafts , Art Sand
526,,
527,Home Accessories , Decorative Accessories 
528,,
529,,
