LOC_CODE;LOCATION_TYPE;LOCATION_NAME;DIS_CODE;DISTRICT;REG_CODE;REGION
L05320;д.;Пучковские;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L26981;д.;Пушелаты;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02356;д.;Пушкари;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02584;д.;Пушкаришки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05027;аг.;Пушки;D065;Лиозненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L20262;д.;Пушково;D057;Костюковичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L06443;д.;Пушно;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02860;д.;Пушталево;D015;Верхнедвинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03873;д.;Пуща;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06992;д.;Пуща 1;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L08405;д.;Пущевые;D124;Шумилинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03898;д.;Пущеево;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19325;д.;Пущенка;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L10855;д.;Пущики;D101;Свислочский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L15824;д.;Пчелинск;D003;Березинский;R06;МИНСКАЯ ОБЛАСТЬ
L17193;д.;Пчельник;D008;Борисовский;R06;МИНСКАЯ ОБЛАСТЬ
L00995;д.;Пшенаи;D040;Жабинковский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L04435;д.;Пшеничено;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05028;д.;Пыжи;D065;Лиозненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10971;д.;Пыра;D030;Гродненский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L23248;д.;Пырашево;D113;Узденский;R06;МИНСКАЯ ОБЛАСТЬ
L20928;д.;Пырцы;D117;Чаусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L03699;д.;Пырщина;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19243;д.;Пытань;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L08605;д.;Пытьковка;D013;Буда-Кошелевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L08715;д.;Пыхань;D016;Ветковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L12176;д.;Пыховчицы;D005;Берестовицкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L10052;д.;Пышки;D030;Гродненский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
