LOC_CODE;LOCATION_TYPE;LOCATION_NAME;DIS_CODE;DISTRICT;REG_CODE;REGION
L12668;д.;Абакумы;D067;Лоевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L14352;х.;Абалишки;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L09096;д.;Абольцы;D042;Жлобинский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L23005;д.;Абраимовка;D035;Дрибинский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L14289;д.;Абрамишки;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L14233;д.;Абрамовка;D097;Речицкий;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L01063;д.;Абрамово;D048;Каменецкий;R01;БРЕСТСКАЯ ОБЛАСТЬ
L06940;д.;Абрамовщина;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17402;д.;Абрамовщина-1;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17403;д.;Абрамовщина-3;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L24770;д;Абрамы;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L16379;д.;Абремовщина;D078;Молодечненский;R06;МИНСКАЯ ОБЛАСТЬ
L16067;д.;Абрицкая Слобода;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L08192;д.;Абузерье;D118;Чашникский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L16794;д.;Авангард;D047;Калинковичский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L15526;д.;Августово;D003;Березинский;R06;МИНСКАЯ ОБЛАСТЬ
L04034;д.;Авданьки;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03022;д.;Авдеевичи;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06491;д.;Авдеево;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04585;д.;Авдеенки;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04563;д.;Авдейково;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12633;д.;Авены;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L25804;д.;Авины;D108;Солигорский;R06;МИНСКАЯ ОБЛАСТЬ
L05271;д.;Авласенки;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05112;д.;Авласово;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06262;д.;Авласы;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L21608;п.;Аврамовка;D123;Шкловский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L06730;д.;Авсеево;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03499;д.;Авселево;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L20471;д.;Авсимовичи;D007;Бобруйский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L23959;д.;Автуховка;D051;Климовичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L03084;д.;Автушково;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L20606;д.;Авхимки;D117;Чаусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L07709;д.;Авхуты;D112;Толочинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L23811;х.;Авштокальня;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07912;д.;Агальница Большая;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L15719;д.;Агарки;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L12238;д.;Агатово;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L22463;д.;Агеевка;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L25675;д;Агеево;D103;Славгородский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L26223;д.;Агрономическая;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L25555;д;Агула;D088;Осиповичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L19441;д.;Агульс;D125;Щучинский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L21438;п.;Адаменка;D014;Быховский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L05001;аг.;Адаменки;D065;Лиозненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03157;д.;Адамишки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L14548;д.;Адамки;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L17039;д.;Адамовичи;D078;Молодечненский;R06;МИНСКАЯ ОБЛАСТЬ
L05143;д.;Адамовка;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00952;д.;Адамово;D036;Дрогичинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L03838;д.;Адамовцы;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10189;д.;Адамовщина;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L12319;д.;Адамполь;D084;Новогрудский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06379;д.;Адамполье;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L15915;д.;Адасевщина;D032;Дзержинский;R06;МИНСКАЯ ОБЛАСТЬ
L13919;д.;Адаси;D091;Петриковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L00327;д.;Адаховщина;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L13710;д.;Адверники;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07400;д.;Адворица;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07572;д.;Адворня;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07450;д.;Аделино;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L22962;д.;Адринищи;D113;Узденский;R06;МИНСКАЯ ОБЛАСТЬ
L02599;д.;Адымянишки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L24254;д.;Адынь;D119;Червенский;R06;МИНСКАЯ ОБЛАСТЬ
L13241;х.;Аели;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L14018;д.;Ажуболи;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L18465;д.;Ажугеры;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L14019;д.;Ажукольни;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06941;д.;Ажуройсти;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07477;д.;Азаренки;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17128;д.;Азаричи;D104;Слонимский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17697;д.;Азарки-Дворище;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L17698;д.;Азарки-Пудовинка;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L17699;д.;Азарки-Старые;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L25537;д;Азаровка;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L09275;д.;Азделино;D027;Гомельский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L08376;д.;Азета;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05972;д.;Азино;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19649;д.;Айнаровичи;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L17731;д.;Айцвилы;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L10124;д.;Акановичи;D055;Кореличский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L13863;х.;Акартели;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17129;д.;Акачи;D104;Слонимский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06308;х.;Акелы;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10210;д.;Акменеи;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L13920;д.;Акрионы;D091;Петриковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L14993;д.;Аксаковщина;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L17225;д.;Аксамиты;D054;Копыльский;R06;МИНСКАЯ ОБЛАСТЬ
L24555;д.;Аксеньковичи;D002;Белыничский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L02421;д.;Аксютово;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17623;д.;Актавия;D061;Крупский;R06;МИНСКАЯ ОБЛАСТЬ
L12998;д.;Акулинка;D077;Мозырский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L22814;д.;Акулинцы;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L08747;д.;Акшинка;D016;Ветковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L23349;д.;Ала;D049;Кировский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L05464;д.;Алантьево;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L09550;х.;Алаховщина;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07913;д.;Алашки Большие;D122;Шарковщинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06902;д.;Алашковщина;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L01844;д.;Алейники;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13242;х.;Алекса;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L05849;д.;Александрина;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18611;д.;Александрино;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L04688;д.;Александрия;D037;Дубровенский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L09204;д.;Александров;D042;Жлобинский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L11938;д.;Александровичи;D038;Дятловский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L01720;д.;Александровка;D095;Пружанский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L24414;д.;Александровка-1;D103;Славгородский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L19990;д.;Александровка-2;D103;Славгородский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L02327;д.;Александрово;D006;Бешенковичский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06810;д.;Александровская;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12258;д.;Александровщина;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L00945;д.;Алексеевичи;D036;Дрогичинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L08533;д.;Алексеевка;D009;Брагинский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L04623;д.;Алексеево;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02813;д.;Алексеевцы;D015;Верхнедвинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00644;д.;Алексейки;D045;Ивацевичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L07184;д.;Алексиничи;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L12225;д.;Алексичи;D043;Зельвенский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L18593;д.;Алекшицы;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L13711;д.;Алекшишки;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07630;д.;Аленовичи;D112;Толочинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L11575;п.;Алес;D121;Чечерский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L20556;д.;Алесенково;D057;Костюковичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L15773;аг.;Алесино;D106;Смолевичский;R06;МИНСКАЯ ОБЛАСТЬ
L11908;д.;Алехновичи;D038;Дятловский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07185;д.;Алехново;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03158;д.;Алехны;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L23580;д.;Алеховка;D113;Узденский;R06;МИНСКАЯ ОБЛАСТЬ
L22656;х.;Алешковец;D110;Столбцовский;R06;МИНСКАЯ ОБЛАСТЬ
L22314;х.;Алешково;D110;Столбцовский;R06;МИНСКАЯ ОБЛАСТЬ
L06469;д.;Алеща;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L26877;д.;Алещенята;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L10553;х.;Ализово;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L00590;д.;Альба;D045;Ивацевичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L02422;х.;Альбеновка;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00296;д.;Альбинки;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L02453;д.;Альбиновщина;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13354;д.;Альбинск;D086;Октябрьский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L06551;д.;Альбрехтово;D099;Россонский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18698;д.;Альбянка;D083;Несвижский;R06;МИНСКАЯ ОБЛАСТЬ
L00665;д.;Альвус;D048;Каменецкий;R01;БРЕСТСКАЯ ОБЛАСТЬ
L17389;д.;Альжутки;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L10305;п.;Альсагорка;D098;Рогачевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L13812;х.;Альтария;D046;Ивьевский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L03949;д.;Альхимовщина;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05002;д.;Альховик;D065;Лиозненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19949;д.;Альховка;D052;Кличевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L18275;д.;Альшаники;D061;Крупский;R06;МИНСКАЯ ОБЛАСТЬ
L23325;д.;Алюты;D035;Дрибинский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L26897;д.;Аляново;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L19500;д.;Амбилевцы;D125;Щучинский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L11295;д.;Амбражилевичи;D038;Дятловский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L09551;х.;Амброжина;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L05272;д.;Амбросенки;D074;Миорский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03912;д.;Амбросовичи;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17784;д.;Амелино;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L17130;д.;Амельники;D104;Слонимский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L08724;п.;Амельное;D016;Ветковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L25524;д;Америка;D060;Круглянский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L25579;д;Аминовичи;D088;Осиповичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L19010;д.;Амлынцы;D083;Несвижский;R06;МИНСКАЯ ОБЛАСТЬ
L18636;д.;Амнишево;D066;Логойский;R06;МИНСКАЯ ОБЛАСТЬ
L09853;д.;Амоляны;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06527;д.;Амосенки;D099;Россонский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L26940;д;Амосовка;D118;Чашникский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L22095;д.;Амур;D025;Глусский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L22480;д.;Амховая 1;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L22481;д.;Амховая 2;D076;Могилевский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L03023;д.;Ананино;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03756;д.;Ананичи;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L09854;д.;Ананишки;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L16078;д.;Ананчицы;D108;Солигорский;R06;МИНСКАЯ ОБЛАСТЬ
L24556;д.;Ананьевка;D002;Белыничский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L25958;д.;Анаполье;D119;Червенский;R06;МИНСКАЯ ОБЛАСТЬ
L10745;д.;Анацки;D064;Лидский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L20535;д.;Ангеловка;D057;Костюковичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L25285;д;Андеколово;D028;Горецкий;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L17872;д.;Андоловщина;D017;Вилейский;R06;МИНСКАЯ ОБЛАСТЬ
L23113;д.;Андраны;D080;Мстиславский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L11036;д.;Андрашовщина;D064;Лидский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L12793;д.;Андреевичи;D020;Волковысский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L08413;д.;Андреевка;D124;Шумилинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04072;д.;Андреево;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00386;д.;Андреевцы;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L05456;д.;Андреевщина;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04448;д.;Андреенки;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L18047;д.;Андрейки;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L10225;х.;Андрейкишки;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06811;д.;Андрейчики;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L15283;д.;Андриевщина;D032;Дзержинский;R06;МИНСКАЯ ОБЛАСТЬ
L01653;д.;Андрияновка;D095;Пружанский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L04813;д.;Андрияново;D037;Дубровенский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03869;д.;Андроновичи;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L01456;д.;Андроново;D053;Кобринский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L20342;д.;Андроновщина;D116;Хотимский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L06901;аг.;Андроны;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17571;д.;Андросовщина;D054;Копыльский;R06;МИНСКАЯ ОБЛАСТЬ
L14320;х.;Андруны;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L19501;д.;Андрушевцы;D125;Щучинский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L12476;д.;Андруши;D020;Волковысский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L06309;д.;Андрушишки;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13445;д.;Андрушки;D046;Ивьевский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L25258;д;Андрюхи;D028;Горецкий;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L13364;х.;Андюлевича;D022;Вороновский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07688;д.;Анелино;D112;Толочинский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L19066;д.;Анетово;D096;Пуховичский;R06;МИНСКАЯ ОБЛАСТЬ
L05457;д.;Анибалево;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07504;д.;Аникевщина;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L25283;д.;Аниковичи;D028;Горецкий;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L00328;д.;Анисимовичи;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L04035;д.;Аниськи;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L24500;д.;Аниськовщина;D002;Белыничский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L06178;д.;Анкуды;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10256;д.;Анновка;D098;Рогачевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L15311;д.;Аннополь;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L17278;д.;Аножки;D054;Копыльский;R06;МИНСКАЯ ОБЛАСТЬ
L12634;х.;Анополь;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L13942;д.;Аносовичи;D091;Петриковский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L04838;д.;Аношки;D063;Лепельский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04710;д.;Антипенки;D037;Дубровенский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L05509;д.;Антовиль;D087;Оршанский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02701;д.;Антодолье;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L16817;д.;Антоневичи;D008;Борисовский;R06;МИНСКАЯ ОБЛАСТЬ
L03159;д.;Антоненки;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L14120;д.;Антонёво;D055;Кореличский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L18000;д.;Антонисберг;D081;Мядельский;R06;МИНСКАЯ ОБЛАСТЬ
L06084;д.;Антонишки;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L13295;д.;Антонов;D082;Наровлянский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L19876;д.;Антонова Буда;D002;Белыничский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L05986;д.;Антоновичи;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02985;д.;Антоновка;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L00329;д.;Антоново;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L12874;д.;Антоновские Пасеки;D046;Ивьевский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L03247;д.;Антоновцы;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L15572;д.;Антоновщина;D032;Дзержинский;R06;МИНСКАЯ ОБЛАСТЬ
L01169;д.;Антоны;D048;Каменецкий;R01;БРЕСТСКАЯ ОБЛАСТЬ
L00855;гп;Антополь;D036;Дрогичинский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L08106;д.;Антополье;D118;Чашникский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L17404;д.;Антосино;D107;Сморгонский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L07378;д.;Антуново;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10609;д.;Антуши;D098;Рогачевский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L15251;д.;Анулино;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L15699;д.;Анусино;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L15105;д.;Ануфровичи;D105;Слуцкий;R06;МИНСКАЯ ОБЛАСТЬ
L22963;д.;Ануфрово;D113;Узденский;R06;МИНСКАЯ ОБЛАСТЬ
L26898;д.;Анцелевщина;D021;Воложинский;R06;МИНСКАЯ ОБЛАСТЬ
L04197;д.;Анциперы;D034;Докшицкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L10507;д.;Анцули;D090;Ошмянский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L20997;д.;Анютино;D120;Чериковский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L11645;д.;Апалино-Басино;D038;Дятловский;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L03950;д.;Апанасенки;D024;Глубокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03160;д.;Апанасишки 1;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L03161;д.;Апанасишки 2;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L07413;д.;Апанасковичи;D114;Ушачский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02221;д.;Апеляновичи;D095;Пружанский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L06617;д.;Апечки;D102;Сенненский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L06942;д.;Апидомы;D094;Поставский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L16336;д.;Аполеи;D078;Молодечненский;R06;МИНСКАЯ ОБЛАСТЬ
L15085;д.;Аполины;D105;Слуцкий;R06;МИНСКАЯ ОБЛАСТЬ
L09296;п.;Аполлоновка;D027;Гомельский;R03;ГОМЕЛЬСКАЯ ОБЛАСТЬ
L22330;д.;Апоновщина;D110;Столбцовский;R06;МИНСКАЯ ОБЛАСТЬ
L21885;д.;Апполоновка;D123;Шкловский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L13243;д.;Апушины;D089;Островецкий;R04;ГРОДНЕНСКАЯ ОБЛАСТЬ
L01634;д.;Арабники;D095;Пружанский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L00237;аг.;Арабовщина;D001;Барановичский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L02245;д.;Арабьи;D095;Пружанский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L21506;д.;Арава;D060;Круглянский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
L17279;д.;Аргеловщина;D054;Копыльский;R06;МИНСКАЯ ОБЛАСТЬ
L02986;д.;Арехи;D019;Витебский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L22227;д.;Аркадия;D012;Брестский;R01;БРЕСТСКАЯ ОБЛАСТЬ
L15671;д.;Аронова Слобода;D073;Минский;R06;МИНСКАЯ ОБЛАСТЬ
L17873;д.;Арпа;D017;Вилейский;R06;МИНСКАЯ ОБЛАСТЬ
L05973;д.;Артейковичи;D093;Полоцкий;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L04036;п.;Артельный;D029;Городокский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L02423;д.;Артемовичи;D010;Браславский;R02;ВИТЕБСКАЯ ОБЛАСТЬ
L23970;д.;Артемовка;D051;Климовичский;R07;МОГИЛЕВСКАЯ ОБЛАСТЬ
