product,vendor code,code,group code,main provider,main manufacturer,tax,country-provider,discount,price
Корпус прозрачный с наклейками,281068,1168,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,3.82
Шестерня ведущая 15Т,282005,1169,1-Aug,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,18.53
Стальная шестреня привода 45T старье,282023,1171,1-Aug,,,20%,КИТАЙ ,6,1.34
Дифференциал,258300,1173,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,1.6
Кардан центральный,258303,1174,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,30
Шестерня ведущая,258304,1175,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,-4,13.31
Дифференциал шариковый,258406,1176,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,13.13
Полуоси,258900,1177,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,12.5
Ступица (поворотный кулак) передняя (пара),258901,1178,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,27.5
Ступица задняя (пара),258907,1179,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,17
Наконечники амортизатора,258913,1180,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,17
Стойки корпуса,258914,1181,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,18.53
Рычаг задний верхний,258915,1182,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,0.63
Крепление рычага (заднего верхнего),258916,1183,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,6,1.34
Бампер с паралоном,258917,1184,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,1,39.37
Корпус прозрачный,258939,1185,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,1,18.3
Шестерня ведущая 20T,258948,1186,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,,0.77
я Колеса проклееные с паралоном (2 шт.) 1/18 туринг,258948,1187,"Колёса, шины, диски, вставки и аксессуары",,,20%,КИТАЙ ,,0.83
Полуоси стальные,258964,1188,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,2
Муфта обгонная,258967,1189,Jan-18,Anderson Racing,Anderson Racing,20%,КИТАЙ ,5,18.53
