S_NUMBER;C_CODE;Location_DESC;Latitude;Longitude;ROAD1;ROAD2;DT;DT2;AI92;BN92;AI95;GPL;AI98
2;BY;Пересвятовский Сельский Совет, 38;52.266944;30.254444;М-10;;1;0;1;0;1;1;0,,,,,
2;BY;г. Витебск, ул. Воинов - Интернационалистов;55.166172;30.198984;;;1;0;1;0;1;0;1,,,,,
2;BY;а/д Минск-Молодечно, 17км, лево;53.949753;27.331613;Р-28;;1;0;1;0;1;1;0,,,,
2;BY;г. Борисов, ул. Гагарина, 72;54.198683;28.472533;Р-53;;1;0;1;0;1;0;0,,,,
2;BY;д. Островля;53.870066;25.255278;;;1;0;1;0;1;1;0,,,,,,
2;BY;г. Могилев, ул. Первомайская, 146;53.934028;30.334056;;;1;0;1;0;1;1;0,,,,
20;BY;Брестская обл., Брестский р-н, Томашовский с/с, аг. Томашовка, ул. Лесная, 5;51.5569;23.6105;Р-94;;1;0;1;0;1;0;0,
20;BY;г. Кричев, ул. Московская;53.705639;31.70975;;;1;0;1;0;1;1;0,,,,,
20;BY;г. Гомель, ул. Хатаевича, 40;52.443611;31.022778;;;1;0;1;0;1;0;0,,,,
20;BY;г. Лида, ул. Красноармейская,110;53.892383;25.253283;;;1;0;1;0;1;1;0,,,,
20;BY;аг. Крулевщина, ул. Черняховского, 128;55.038358;27.789656;;;1;0;1;0;0;0;0,,,,
20;BY;Минская обл.,Несвижский р-н,Р-91, 169-й км , 2;53.216151;26.39101;Р-91;;1;0;1;0;1;0;0,,
20;BY;РБ, Минская обл, Минский р-н, Ждановичский с/с, М-6,20-й км.1;53.916361;27.276288;М-6;;1;0;1;0;1;0;1,
21;BY;г. Бобруйск, ул. Рогачевская, 35;53.140666;29.303116;;;1;0;1;0;1;1;0,,,,
21;BY;Брестская обл., г. Барановичи, ул. Доменикана, д. 167;53.143701;25.958138;Р-2;;1;0;1;0;1;0;0,,,
21;BY;Глубокский р-н, Обрубский с/с, 2;55.116194;27.67044;Р-3;Р-45;1;0;1;1;1;0;0,,,,
21;BY;а/д Минск-Мядель, 10 км (право);53.97928;27.536322;Р-58;;1;0;1;0;1;1;0,,,,,
21;BY;г. Волковыск, ул. Жолудева;53.15198;24.42868;;;1;1;1;0;1;0;0,,,,,
21;BY;г. Гомель, ул. Докутович, 57а;52.44;30.990278;;;1;0;0;1;1;0;1,,,,
21;BY;Минская обл., Столбцовский р-н,г. Столбцы, ул. Магистральная, 1;53.489926;26.733338;Р-2;;1;0;1;0;1;0;0,,
21;BY;Лидский р-н трасса м-6 172км Минск-Гродно  1;53.844658;25.183266;М-6;;1;1;1;0;1;0;0,,,,,,
22;BY;г. Бобруйск. ул.Чапаева 65;53.144853;29.188294;;;1;0;1;0;1;0;0,,,,,,
22;BY;г. Поставы, ул. Советская, 108;55.098414;26.838948;;;1;0;1;1;1;1;0,,,,
22;BY;г. Речица, ул. Молодежная, 11;52.352222;30.405556;;;1;0;0;1;1;1;0,,,,
