Код;Кол-во;Наименование;Автор;ISBN;Вес шт.(кг);Описание;Направление;Ссылка на cайт;Цена без скидки;Акционная скидка;Скидка корпоративная;Итоговая скидка;Итоговая цена;Стоимость;;
00000015217;0;Просто гениально;Уильям Тейлор;978-5-00100-895-8;0,48;Что великие компании делают не как все;Бизнес;https://www.mann-ivanov-ferber.ru/books/prosto-genialno/?buytab=paperbook;910,00;30%;т ты меня;50%;455,00;0,00;637;
00000015050;0;Магия бумаги;Луиза Фиршау;978-5-00100-883-5;0,56;Идеи для художественного вырезания;Творчество;https://www.mann-ivanov-ferber.ru/books/magiya-bumagi/?buytab=paperbook;800,00;30%;т ты меня;50%;400,00;0,00;560;
00000015114;0;Живое дерево;Кристи Матесон;978-5-00100-931-3;0,39;Волшебная книга-игра для самых маленьких;Детские книги;https://www.mann-ivanov-ferber.ru/books/zhivoe-derevo/?buytab=paperbook;830,00;30%;т ты меня;50%;415,00;0,00;581;
00000015116;0;Тогда и сейчас;Адам Куртц;978-5-00100-932-0;0,25;Еженедельник для творческих людей;Творчество;https://www.mann-ivanov-ferber.ru/books/togda-i-sejchas/?buytab=paperbook;910,00;30%;т ты меня;50%;455,00;0,00;637;
00000014568;0;Программируем с Minecraft;Крейг Ричардсон;978-5-00100-819-4;0,75;Создай свой мир с помощью Python;Детские книги;https://www.mann-ivanov-ferber.ru/books/programmiruem-s-minecraft/?buytab=paperbook;1135,00;30%;т ты меня;50%;567,50;0,00;794,5;
00000015209;0;Шахматы с енотом. Рабочая тетрадь № 1;Екатерина Волкова, Екатерина Прудникова;978-5-00100-917-7;0,50;;Детские книги;https://www.mann-ivanov-ferber.ru/books/shaxmatyi-s-enotom/?buytab=paperbook;655,00;30%;т ты меня;50%;327,50;0,00;458,5;
00000015168;0;Неведомый мир;Ангелика Штабнер;978-5-00100-926-9;0,43;;;https://www.mann-ivanov-ferber.ru/books/nevedomyj-mir/?buytab=paperbook;655,00;30%;т ты меня;50%;327,50;0,00;458,5;
00000015219;0;Правила жизни Брюса Ли;Брюс Ли;978-5-00100-884-2;0,37;Слова мудрости на каждый день;Cаморазвитие;https://www.mann-ivanov-ferber.ru/books/pravila-zhizni-bryusa-li/?buytab=paperbook;735,00;30%;т ты меня;50%;367,50;0,00;514,5;
00000014886;0;Хильда и каменный лес;Люк Пирсон;978-5-00100-882-8;0,58;Том 5;Комиксы;https://www.mann-ivanov-ferber.ru/books/hilda-i-kamennyij-les/?buytab=paperbook;725,00;30%;т ты меня;50%;362,50;0,00;507,5;
00000015049;0;Что не так в здравоохранении?;Генри Минцберг;978-5-00100-889-7;0,53;Мифы. Проблемы. Решения;Бизнес;https://www.mann-ivanov-ferber.ru/books/chto-ne-tak-v-zdravooxranenii/?buytab=paperbook;1070,00;30%;т ты меня;50%;535,00;0,00;749;
00000015111;0;Балет;Полина Мохова, Анастасия Батищева;978-5-00100-898-9;0,38;Книга о безграничных возможностях;Детские книги;https://www.mann-ivanov-ferber.ru/books/balet/?buytab=paperbook;695,00;30%;т ты меня;50%;347,50;0,00;486,5;
00000015110;0;Приключения «Черной руки»;Ганс Юрген Пресс;978-5-00117-091-4;0,32;;Детские книги;https://www.mann-ivanov-ferber.ru/books/priklyucheniya-chernoj-ruki/?buytab=paperbook;420,00;30%;т ты меня;50%;210,00;0,00;294;
00000015047;0;Придумай и нарисуй свой комикс;Луи Стоуэлл;978-5-00100-901-6;0,46;;Комиксы;https://www.mann-ivanov-ferber.ru/books/pridumaj-i-narisuj-svoj-komiks/?buytab=paperbook;640,00;30%;т ты меня;50%;320,00;0,00;448;
00000014040;0;Я не боюсь темноты!;Хелена Хараштова, Якуб Ценкл;978-5-00100-697-8;0,37;;Детские книги;https://www.mann-ivanov-ferber.ru/books/ya-ne-boyus-temnotyi/?buytab=paperbook;1135,00;30%;т ты меня;50%;567,50;0,00;794,5;
